Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
acetyl-glycyl-beta-alanine,Acetyl Glycyl Beta-Alanine,GenoWhite,skin brightening,"Acetyl Glycyl Beta-Alanine, yang dikenal dengan nama dagang GenoWhite, adalah peptida pencerah kulit generasi terbaru yang dirancang untuk mengatasi hiperpigmentasi dengan sangat efektif. Bahan ini bekerja dengan mekanisme ganda, yaitu menghambat enzim pembentuk melanin seperti tirosinase dan mencegah transfer pigmen ke lapisan atas kulit agar noda hitam tidak terlihat di permukaan. Karena kemampuannya menembus lapisan kulit dengan cepat, bahan ini mampu menyamarkan bintik hitam, meratakan warna kulit, dan meningkatkan kejernihan wajah dalam waktu yang relatif singkat. Selain efektivitasnya yang tinggi, peptida ini dikenal sangat stabil dalam formula kosmetik dan lembut bagi pemilik kulit sensitif.",Normal
acetyl-hexapeptide-1,Acetyl Hexapeptide-1,Melitane,,"Acetyl Hexapeptide-1, yang juga dikenal dengan nama dagang Melitane, adalah peptida biomimetik yang meniru aktivitas hormon perangsang melanosit (alpha-MSH). Berbeda dengan peptida anti-penuaan pada umumnya, bahan ini bekerja dengan merangsang produksi melanin untuk meningkatkan perlindungan alami kulit terhadap radiasi UV dan membantu proses pigmentasi kulit (tan). Selain kemampuannya dalam memperbaiki kerusakan DNA akibat sinar matahari dan mengurangi kemerahan, peptida ini juga sering digunakan dalam produk perawatan rambut untuk membantu mempertahankan warna rambut alami dan memperlambat munculnya uban. Bahan ini berfungsi sebagai agen pengkondisi kulit dan pelindung yang efektif untuk menjaga kesehatan kulit dari stres lingkungan.",Normal
acetyl-hexapeptide-8,Acetyl Hexapeptide-8,"Argireline, Acetyl Hexapeptide-3","cell-communicating ingredient, moisturizer/humectant","Acetyl Hexapeptide-8, yang sangat populer dengan nama dagang Argireline, adalah peptida sintetis yang sering dijuluki sebagai Botox dalam botol. Bahan ini bekerja dengan cara unik yaitu menghambat pelepasan neurotransmiter yang memicu kontraksi otot wajah, sehingga secara efektif membantu mengurangi kedalaman kerutan ekspresi, terutama di sekitar mata dan dahi. Selain kemampuannya dalam menghaluskan garis halus tanpa prosedur invasif, peptida ini juga memiliki sifat humektan yang membantu meningkatkan hidrasi dan elastisitas kulit, memberikan tampilan wajah yang lebih kencang dan awet muda.",Semua jenis kulit
acetyl-octapeptide-3,Acetyl Octapeptide-3,"SNAP-8, Acetyl Glutamyl Heptapeptide-1","cell-communicating ingredient, moisturizer/humectant","Acetyl Octapeptide-3, yang dikenal dengan nama dagang SNAP-8, adalah peptida anti-penuaan inovatif yang dirancang sebagai alternatif non-invasif untuk Botox. Bahan ini merupakan pengembangan dari Acetyl Hexapeptide-8 (Argireline) yang bekerja dengan cara menghambat sinyal saraf yang memicu kontraksi otot wajah. Dengan merelaksasi otot, bahan ini secara efektif mengurangi kedalaman kerutan ekspresi, terutama di area dahi dan sekitar mata. Selain manfaat anti-kerutnya, Acetyl Octapeptide-3 juga berfungsi sebagai humektan yang membantu menjaga kelembapan dan hidrasi kulit, memberikan tampilan wajah yang lebih halus, kencang, dan tampak lebih muda.",Normal
acetyl-tetrapeptide-2,Acetyl Tetrapeptide-2,Thymulen 4,cell-communicating ingredient,"Acetyl Tetrapeptide-2, yang dikenal dengan nama dagang Thymulen 4, adalah peptida biomimetik yang terdiri dari empat asam amino dan dirancang untuk meniru fungsi hormon pemuda alami, timopoietin. Bahan ini bekerja dengan mengompensasi hilangnya faktor timus akibat penuaan, membantu meningkatkan pertahanan sistem imun kulit dan merangsang regenerasi epidermis secara mendalam. Selain kemampuannya dalam meningkatkan kekencangan kulit dengan merangsang produksi kolagen dan elastin, peptida ini juga efektif dalam memperbaiki tekstur, mengurangi kerutan, serta memberikan efek mencerahkan dengan menghambat pembentukan melanin. Dengan kemampuannya untuk memperkuat struktur kulit dan mempercepat proses pemulihan sel, Acetyl Tetrapeptide-2 menjadi bahan aktif unggulan dalam produk anti-penuaan untuk menjaga kulit tetap kenyal, padat, dan tampak lebih muda.",Normal
acetyl-tetrapeptide-3,Acetyl Tetrapeptide-3,,cell-communicating ingredient,"Acetyl Tetrapeptide-3 adalah peptida biomimetik yang terdiri dari empat asam amino dan dikenal karena kemampuannya dalam memperkuat akar serta mengurangi kerontokan rambut. Bahan ini bekerja dengan merangsang sintesis protein matriks ekstraseluler (seperti kolagen tipe III dan laminin) pada kulit kepala, yang berfungsi meningkatkan ukuran folikel rambut dan memastikan penjangkaran (anchoring) helai rambut yang lebih kuat. Selain sering digunakan dalam serum pertumbuhan rambut dan maskara untuk bulu mata, peptida ini juga memiliki sifat anti-inflamasi yang menenangkan kulit kepala serta efektif jika dikombinasikan dengan ekstrak tanaman seperti Red Clover untuk menghambat hormon DHT penyebab kebotakan.",Normal
acetyl-tetrapeptide-5,Acetyl Tetrapeptide-5,EYESERYL,"cell-communicating ingredient, moisturizer/humectant","Acetyl Tetrapeptide-5, yang dikenal dengan nama dagang Eyeseryl, adalah peptida sintetik yang terdiri dari empat asam amino dan dirancang khusus untuk perawatan area mata. Bahan ini bekerja dengan cara mengurangi permeabilitas pembuluh darah dan meningkatkan sirkulasi limfatik untuk membantu membuang akumulasi cairan (edema) yang menyebabkan kantung mata dan pembengkakan. Selain efek dekongestan, bahan ini juga memiliki sifat anti-glikasi yang melindungi kolagen dari kerusakan, sehingga membantu menjaga elastisitas dan kekencangan kulit di sekitar mata. Acetyl Tetrapeptide-5 sangat efektif dalam mencerahkan lingkaran hitam dan menghaluskan tekstur kulit, menjadikannya bahan utama yang populer dalam serum dan krim mata untuk mengatasi tanda-tanda kelelahan secara cepat dan aman.",Normal
acetylarginyltryptophyl-diphenylglycine,Acetylarginyltryptophyl Diphenylglycine,Relistase,cell-communicating ingredient,"Acetylarginyltryptophyl Diphenylglycine, yang dikenal dengan nama dagang Relistase, adalah tetrapeptida sintetis yang dirancang khusus untuk mengatasi masalah kulit kendur pada usia dewasa. Bahan ini bekerja dengan menghambat enzim elastase yang merusak elastin dan kolagen, sekaligus merangsang sintesis kolagen tipe I untuk meningkatkan kepadatan kulit. Dengan cara ini, Relistase membantu mengembalikan kekencangan, elastisitas, dan struktur jaringan kulit sehingga wajah tampak lebih terangkat dan awet muda.",Normal
acrylates-copolymer,Acrylates Copolymer,,viscosity controlling,"Acrylates Copolymer adalah polimer sintetis serbaguna yang sering digunakan dalam produk kosmetik dan perawatan pribadi sebagai agen pembentuk lapisan (film-former), pengental, dan penstabil emulsi. Bahan ini bekerja dengan membentuk lapisan pelindung yang fleksibel dan tahan air pada kulit atau rambut, sehingga sangat berguna dalam produk seperti maskara, eyeliner, dan tabir surya untuk meningkatkan ketahanan produk. Selain kemampuannya dalam mengontrol viskositas untuk menciptakan tekstur gel yang halus, bahan ini juga membantu menjaga partikel padat tetap tersuspensi secara merata dalam formula, memberikan hasil akhir yang lembut dan tidak lengket.",Normal
acrylates-c10-30-alkyl-acrylate-crosspolymer,Acrylates/​C10-30 Alkyl Acrylate Crosspolymer,,"viscosity controlling, emulsion stabilising","Acrylates/C10-30 Alkyl Acrylate Crosspolymer adalah polimer sintetis yang berfungsi sebagai pengental dan penstabil emulsi yang sangat populer dalam produk perawatan kulit dan pembersih. Bahan ini merupakan kerabat dari Carbomer, namun memiliki bagian yang menyukai minyak sehingga mampu menyatukan fase minyak dan air agar tidak terpisah. Selain memberikan tekstur gel yang halus dan mewah, bahan ini juga membentuk lapisan pelindung tipis di atas kulit untuk menjaga kelembapan serta membantu meningkatkan penyerapan bahan aktif lainnya.",Normal
acrylates-c12-22-alkyl-methacrylate-copolymer,Acrylates/​C12-22 Alkyl Methacrylate Copolymer,,,"Acrylates/C12-22 Alkyl Methacrylate Copolymer adalah polimer sintetik yang berfungsi utama sebagai agen pembentuk lapisan (film-former) dalam produk kosmetik dan perawatan pribadi. Bahan ini sangat efektif dalam meningkatkan ketahanan terhadap air dan gesekan, menjadikannya bahan populer dalam tabir surya, maskara, dan produk riasan tahan lama. Selain membantu menjaga kelembapan dengan membentuk pelindung di atas permukaan kulit atau rambut, bahan ini juga memberikan tekstur yang halus, meningkatkan daya sebar produk, dan membantu menjaga stabilitas formula tanpa memberikan rasa lengket yang berlebihan.",Normal
acrylates-dimethicone-copolymer,Acrylates/​Dimethicone Copolymer,,,"Acrylates/Dimethicone Copolymer adalah polimer sintetik yang menggabungkan sifat resin akrilat dan silikon untuk berfungsi sebagai agen pembentuk lapisan (film-former) yang kuat. Bahan ini sangat populer dalam produk kosmetik tahan air (waterproof) dan tahan lama (long-wearing) seperti tabir surya, lipstik cair, dan maskara karena kemampuannya membentuk lapisan pelindung yang tahan air, minyak, dan tidak mudah luntur (non-transfer). Selain memberikan daya rekat yang baik pada kulit, bahan ini juga berfungsi sebagai agen pengkondisi kulit dan penambah tekstur yang memberikan hasil akhir halus tanpa rasa lengket yang berlebihan. Karena sifatnya yang membentuk lapisan film yang kokoh, produk yang mengandung bahan ini biasanya paling efektif dibersihkan menggunakan pembersih wajah berbahan dasar minyak.",Normal
acrylates-ethylhexyl-acrylate-crosspolymer,Acrylates/​Ethylhexyl Acrylate Crosspolymer,,absorbent/mattifier,"Acrylates/Ethylhexyl Acrylate Crosspolymer adalah kopolimer sintetis yang berfungsi utama sebagai agen pengikat (binding agent) dan pembentuk lapisan (film-former) dalam berbagai produk kosmetik. Bahan ini membantu menyatukan seluruh bahan dalam formula agar tetap stabil dan tidak terpisah, sekaligus menciptakan lapisan pelindung yang tahan air pada permukaan kulit atau rambut. Karena kemampuannya dalam meningkatkan tekstur, daya rekat, dan ketahanan produk, bahan ini sering ditemukan dalam produk riasan seperti maskara, eyeliner, serta tabir surya. Selain itu, bahan ini bersifat non-komedogenik sehingga sangat kecil kemungkinannya untuk menyumbat pori-pori.",Berminyak
acrylonitrile-methyl-methacrylate-vinylidene-chloride-copolymer,Acrylonitrile/​Methyl Methacrylate/​Vinylidene Chloride Copolymer,Expancel microspheres,,"Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, yang dikenal dengan nama dagang Expancel microspheres, adalah polimer sintetis berbentuk bola mikro termoplastik yang sangat ringan. Dalam produk kosmetik dan perawatan kulit, bahan ini sering digunakan sebagai bahan pengisi (filler) berongga yang membantu memperbaiki tekstur produk, memberikan efek halus dan lembut (soft-focus), serta meningkatkan kenyamanan saat aplikasi pada kulit. Selain itu, bahan ini dapat digunakan dalam produk perawatan rambut untuk membantu meningkatkan volume rambut secara signifikan. Karena sifat penghalang (barrier) yang sangat baik terhadap kelembapan dan gas, bahan ini juga populer digunakan dalam industri pengemasan makanan.",Normal
adansonia-digitata-seed-oil,Adansonia Digitata Seed Oil,Baobab Seed Oil,emollient,"Adansonia Digitata Seed Oil, yang lebih dikenal sebagai Baobab Seed Oil, adalah minyak alami yang diekstrak dari biji pohon baobab Afrika yang ikonik. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam lemak esensial seperti omega-3, 6, dan 9, serta vitamin A, D, E, dan F yang membantu meregenerasi sel kulit dan meningkatkan elastisitas. Teksturnya yang ringan memungkinkan minyak ini menyerap dengan cepat ke dalam kulit tanpa meninggalkan rasa lengket, menjadikannya pilihan ideal untuk melembapkan kulit kering, menenangkan gejala eksim atau psoriasis, dan memperkuat sawar kulit (skin barrier). Selain manfaatnya untuk wajah dan tubuh, minyak baobab juga sering digunakan dalam perawatan rambut untuk memberikan kilau dan kekuatan pada rambut yang rapuh.",Normal
adenosine,Adenosine,,cell-communicating ingredient,"Adenosine adalah bahan organik yang ditemukan secara alami di setiap sel tubuh manusia dan berperan penting dalam proses biokimia seperti transfer energi (ATP) serta transduksi sinyal. Dalam perawatan kulit, bahan ini dikenal karena kemampuannya yang luar biasa dalam menenangkan kulit dan berfungsi sebagai agen anti-penuaan yang efektif. Adenosine bekerja dengan merangsang produksi kolagen dan elastin untuk membantu menyamarkan tampilan garis halus serta kerutan, sehingga kulit tampak lebih kencang dan halus. Karena sifatnya yang menenangkan, bahan ini juga sangat bermanfaat untuk meredakan kemerahan dan iritasi, menjadikannya pilihan yang aman dan efektif untuk semua jenis kulit, termasuk kulit sensitif.",Normal
adipic-acid-neopentyl-glycol-crosspolymer,Adipic Acid/​Neopentyl Glycol Crosspolymer,Penstia Powder,"viscosity controlling, deodorant","Adipic Acid/Neopentyl Glycol Crosspolymer, yang dikenal dengan nama dagang Penstia Powder, adalah polimer sintetis berupa bubuk putih halus yang dirancang untuk meningkatkan tekstur dan sensasi penggunaan produk kosmetik. Bahan ini memiliki struktur partikel bola berpori yang memberikan efek optik blurring untuk menyamarkan garis halus, kerutan, dan pori-berpori. Selain memberikan tekstur yang lembut, halus, dan mewah (creamy feel) tanpa rasa lengket, bahan ini sangat efektif dalam menyerap kelebihan minyak atau sebum pada wajah. Dalam formulasi, ia juga berfungsi sebagai penstabil emulsi dan pengontrol viskositas yang membantu produk meluncur dengan mudah di atas kulit.",Berminyak
aesculus-hippocastanum-seed-extract,Aesculus Hippocastanum Seed Extract,Horse Chestnut,soothing,"Aesculus Hippocastanum (Horse Chestnut) Seed Extract adalah ekstrak botani yang dikenal karena kemampuannya dalam menenangkan kulit sensitif dan mengurangi tampilan kemerahan. Bahan ini kaya akan senyawa aktif escin yang memiliki sifat anti-inflamasi dan vasoprotektif, sehingga sangat efektif digunakan dalam krim mata untuk membantu meredakan kantung mata (puffiness) serta menyamarkan lingkaran hitam melalui peningkatan mikrosirkulasi. Selain itu, ekstrak ini mengandung antioksidan kuat yang lebih efektif daripada vitamin E dalam melindungi sel kulit dari kerusakan akibat radikal bebas dan penuaan dini. Sifat astringen alaminya juga membantu mengencangkan pori-pori dan memperbaiki tekstur kulit tanpa memberikan rasa kering yang berlebihan.",Normal
agonis-fragrans-branch-leaf-oil,Agonis Fragrans Branch/​Leaf Oil,Fragonia Essenctial Oil,perfuming,"Agonis Fragrans Branch/Leaf Oil, yang juga dikenal sebagai minyak esensial Fragonia, adalah bahan alami asal Australia yang diperoleh melalui distilasi uap dari daun dan ranting tanaman Agonis fragrans. Dalam produk perawatan kulit, bahan ini dihargai karena sifat antimikroba, anti-inflamasi, dan antioksidannya yang membantu menenangkan iritasi serta memperbaiki kondisi kulit yang berjerawat atau bermasalah. Selain manfaat terapeutiknya, minyak ini memiliki profil aroma yang unik—perpaduan antara kesegaran khas pohon teh (tea tree) dengan sentuhan floral, rempah, dan citrus yang lembut—sehingga sering digunakan sebagai agen pewangi (perfuming) yang memberikan efek menyeimbangkan dan merelaksasi.",Normal
ahnfeltia-concinna-extract,Ahnfeltia Concinna Extract,Red Marine Algae,viscosity controlling,"Ahnfeltia Concinna Extract, yang juga dikenal sebagai ekstrak alga merah (Red Marine Algae), adalah bahan alami kaya nutrisi yang berasal dari perairan Pasifik. Dalam perawatan kulit, ekstrak ini berfungsi sebagai pelembap (humektan) yang luar biasa karena kandungan polisakaridanya mampu mengikat air dan memperkuat sawar kulit (skin barrier). Selain menghidrasi secara mendalam, alga ini memiliki sifat menenangkan dan kaya akan antioksidan yang membantu melindungi kulit dari tanda-tanda penuaan dini. Dalam formula kosmetik, bahan ini juga sering digunakan sebagai pengatur kekentalan (viscosity controlling) untuk memberikan tekstur produk yang lebih halus dan mewah.",Normal
alanine,Alanine,,skin-identical ingredient,"Alanine adalah asam amino non-esensial yang secara alami ditemukan dalam tubuh dan berfungsi sebagai salah satu komponen penyusun protein kulit seperti kolagen dan elastin. Dalam perawatan kulit, bahan ini dikategorikan sebagai bahan identik kulit (skin-identical ingredient) yang berperan penting dalam menjaga hidrasi dan memperkuat sawar kulit (skin barrier). Alanine bekerja sebagai pelembap dengan mengikat air pada lapisan luar kulit, membantu menghaluskan tekstur wajah, serta mengurangi tampilan garis halus dan kerutan. Karena strukturnya yang kecil dan lembut, bahan ini aman digunakan untuk semua jenis kulit, termasuk kulit sensitif, untuk memberikan tampilan wajah yang lebih kenyal dan sehat.",Normal
alcohol,Alcohol,Ethanol,"antimicrobial/antibacterial, solvent, viscosity controlling, astringent","Alkohol, atau lebih dikenal sebagai etanol dalam industri kosmetik, adalah cairan multifungsi yang sering digunakan sebagai pelarut untuk menyatukan berbagai bahan dalam satu formula. Bahan ini memiliki sifat pengeringan yang cepat, memberikan sensasi segar pada kulit, dan membantu bahan aktif lain meresap lebih dalam ke lapisan kulit. Selain itu, alkohol berfungsi sebagai agen antimikroba yang efektif untuk membunuh bakteri serta menjaga kebersihan permukaan kulit. Dalam produk riasan dan perawatan rambut, alkohol membantu pigmen dan bahan lainnya menempel lebih baik, meskipun penggunaan dalam konsentrasi tinggi dapat berpotensi membuat kulit menjadi kering.",Normal
alcohol-denat,Alcohol Denat.,,"antimicrobial/antibacterial, solvent, viscosity controlling, astringent","Alcohol Denat., atau alkohol denaturasi, adalah etanol yang telah dicampur dengan zat tambahan (denaturan) agar tidak dapat dikonsumsi. Dalam produk perawatan kulit, bahan ini berfungsi sebagai pelarut yang efektif untuk melarutkan bahan aktif yang sulit larut dalam air serta meningkatkan penyerapan produk ke dalam kulit. Alcohol Denat. memberikan tekstur yang ringan, membantu produk mengering lebih cepat, dan memberikan efek matte dengan mengontrol minyak berlebih, sehingga sering ditemukan dalam toner atau produk untuk kulit berminyak. Selain itu, bahan ini memiliki sifat antimikroba yang membantu menjaga stabilitas formula, meskipun penggunaan dalam konsentrasi tinggi dapat menyebabkan kulit menjadi kering atau teriritasi bagi pemilik kulit sensitif.",Berminyak
aleurites-moluccana-seed-oil,Aleurites Moluccana Seed Oil,Kukui Nut Oil,"soothing, emollient","Aleurites Moluccana Seed Oil, yang lebih dikenal sebagai Minyak Kukui atau Minyak Kemiri, adalah minyak nabati yang kaya akan nutrisi dan telah lama digunakan dalam pengobatan tradisional Hawaii. Minyak ini sangat efektif sebagai emolien karena mengandung asam lemak esensial yang tinggi, seperti asam linoleat dan linolenat, yang membantu menjaga hidrasi, memperkuat sawar kulit (skin barrier), dan memberikan tekstur kulit yang halus tanpa rasa lengket. Selain kemampuannya dalam melembapkan, minyak ini memiliki sifat menenangkan (soothing) dan anti-inflamasi yang efektif untuk meredakan kulit terbakar matahari, iritasi, serta kondisi kulit kering seperti eksim. Kandungan antioksidan alaminya, termasuk vitamin A, C, dan E, juga membantu melindungi kulit dari kerusakan radikal bebas dan mendukung produksi kolagen untuk menjaga elastisitas kulit.",Normal
algae-extract,Algae Extract,,"emollient, moisturizer/humectant","Algae Extract adalah bahan alami yang diekstrak dari berbagai jenis ganggang laut, seperti ganggang merah, cokelat, hijau, dan biru-hijau. Berfungsi utama sebagai emolien dan humektan, bahan ini sangat efektif dalam menghidrasi kulit, mengikat kelembapan, serta memberikan tekstur yang halus dan lembut. Selain kemampuannya dalam melembapkan, ekstrak ini kaya akan nutrisi penting seperti vitamin, mineral, asam amino, dan antioksidan yang membantu melindungi kulit dari radikal bebas, menenangkan iritasi, serta mendukung elastisitas kulit untuk penampilan yang lebih sehat dan bercahaya.",Normal
algin,Algin,Sodium Alginate,viscosity controlling,"Algin, yang juga dikenal sebagai Sodium Alginate, adalah polisakarida alami yang diekstrak dari alga cokelat (Phaeophyceae). Dalam produk perawatan kulit, bahan ini berfungsi utama sebagai pengatur kekentalan (viscosity controlling) dan agen pembentuk gel yang memberikan tekstur halus pada formula. Algin memiliki kemampuan luar biasa dalam mengikat air, sehingga efektif sebagai pelembap yang membantu menjaga hidrasi dan kelembutan kulit. Selain itu, sifatnya yang menenangkan membuat bahan ini sering ditemukan dalam masker wajah, terutama tipe peel-off atau rubber mask, karena kemampuannya membentuk lapisan pelindung yang membantu penyerapan bahan aktif lainnya.",Normal
allantoin,Allantoin,,soothing,"Allantoin adalah bahan penenang (soothing) populer yang ditemukan secara alami dalam akar dan daun tanaman comfrey, namun sering diproduksi secara sintetis untuk penggunaan kosmetik. Bahan ini memiliki sifat multifungsi sebagai agen anti-iritasi yang efektif untuk melindungi kulit sensitif, serta bertindak sebagai keratolitik lembut yang membantu mengangkat sel kulit mati agar tekstur kulit menjadi lebih halus dan lembut. Selain kemampuannya dalam mempercepat penyembuhan luka dan regenerasi sel, Allantoin juga berfungsi sebagai humektan yang meningkatkan kadar air dalam kulit, sehingga menjaga hidrasi dan memberikan efek hidrasi yang menyejukkan.",Normal
allium-cepa-bulb-extract,Allium Cepa Bulb Extract,Onion Bulb Extract,antimicrobial/antibacterial,"Allium Cepa Bulb Extract, yang lebih dikenal sebagai ekstrak bawang merah, adalah bahan alami yang kaya akan senyawa sulfur, flavonoid, dan antioksidan. Dalam perawatan kulit, bahan ini sangat populer karena kemampuannya untuk memperbaiki tampilan bekas luka (scar), termasuk bekas jerawat dan luka pasca operasi, dengan cara menghaluskan tekstur kulit. Selain itu, ekstrak ini memiliki sifat antimikroba dan anti-inflamasi yang membantu menenangkan iritasi serta melawan bakteri penyebab jerawat. Dalam perawatan rambut, kandungan sulfurnya yang tinggi bermanfaat untuk menutrisi folikel, merangsang sirkulasi kulit kepala, dan mendukung pertumbuhan rambut yang lebih kuat.",Normal
