Nama Produk,Kategori,Ingridients,Tekstur,Harga,Gambar,Link_Produk
Barber Daily Acne Care Face Wash,Facial Wash,"Aqua, Sodium Cocoyl Isethionate, Propylene Glycol, Cocamidopropyl Betaine, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Sodium Lauroyl Sarcosinate, Glycerin, Niacinamide, Parfum, Phenoxyethanol, Salicylic Acid, Sodium Hydroxide, Allantoin, Hydroxyethylcellulose, Tetrasodium EDTA, Ethylhexylglycerin, Menthol",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572972,https://s.shopee.co.id/70Hd7KSs9y
Acnes Facial Wash,Facial Wash,"Water, Glycerin, Palmitic Acid, PEG-2 Stearate, Butylene Glycol, Myristic Acid, Lauric Acid, Potassium Hydroxide, Olea Europaea (Olive) Fruit Oil, Lauramide Dea, Potassium Lauroyl Glutamate, Salicylic Acid, Zinc Gluconate, Zinc Chloride, Niacinamide, Saxifraga Sarmentosa Extract, Sodium Hyaluronate, Tocopheryl Acetate, Magnesium Ascorbyl Phosphate, Dipotassium Glycyrrhizate, Stearyl Glycyrrhetinate, Isopropyl Methylphenol, Lactic Acid, Polyquaternium-7, Lauryl Hydroxysultaine, Potassium Chloride, Ethanol, Sodium Hydroxide, Methylparaben, Propylparaben, Fragrance, Ci 77288, Ci 77492",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572973,https://s.shopee.co.id/70Hd7KSs9y
Scarlett Acne Facial Wash,Facial Wash,"Aqua, Lauryl Glucoside, Acrylates Copolymer, Sodium Cocoyl Glycinate, PEG-40 Hydrogenated Castor Oil, Cocamidopropyl Betaine, Phenoxyethanol, Aminomethyl Propanol, Sodium Chloride, Citrus Limon (Lemon) Fruit Water, Citrus Limon Peel Oil, Artemisia Capillaris Leaf Water, Aloe Barbadensis Leaf Extract, Melaleuca Alternifolia (Tea Tree) Leaf Water, DMDM Hydantoin, Coconut Acid, Glycerin, Ethylhexylglycerin, Ascorbyl Glucoside, Butylene Glycol, Lactose, 1,2-Hexanediol, Acacia Senegal Gum, Microcrystalline Cellulose, Salicylic Acid, 2-Aminobutanol, CI 77007, Agar, Calcium Alginate, Gellan Gum, Bifida Ferment Lysate, Caprylyl Glycol, Kaolin, Silica, CI 73360, CI 77891, Hydroxypropyl Methylcellulose, Methylchloroisothiazolinone, Methylisothiazolinone.",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572974,https://s.shopee.co.id/70Hd7KSs9y
Wardah Acne Salicylic Acid,Facial Wash,"
Aqua, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, PEG-120 Methyl Glucose Dioleate, Acrylates Copolymer, Zinc Gluconate, PEG-3 Distearate, Salicylic Acid, Allantoin, Sodium Lauroyl Sarcosinate, Ethylhexylglycerin, Fragrance, Sodium Chloride, Potassium Hydroxide, Phenoxyethanol, Disodium EDTA.Aqua, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Decyl Glucoside, PEG-120 Methyl Glucose Dioleate, Acrylates Copolymer, Zinc Gluconate, PEG-3 Distearate, Salicylic Acid, Allantoin, Sodium Lauroyl Sarcosinate, Ethylhexylglycerin, Fragrance, Sodium Chloride, Potassium Hydroxide, Phenoxyethanol, Disodium EDTA.",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572975,https://s.shopee.co.id/70Hd7KSs9y
Azarine Acne Gentle,Facial Wash,"Aqua, Disodium Laureth Sulfosuccinate*, Cocamidopropyl Betaine*, Propanediol*, Glycerin*, Aloe Barbadensis Leaf Extract*, Hamamelis Virginiana Leaf Extract*, Polyacrylate Crosspolymer-6, Alcohol, Citrus Limon (Lemon) Fruit Extract*, Chlorphenesin, Salicylic Acid, Rheum Palmatum Root Extract*, Allantoin, Honey (Mel)*, Portulaca Oleracea Extract*, Fragrance, Citric Acid ",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572976,https://s.shopee.co.id/70Hd7KSs9y
Glad 2 Glow Centella Salicylic Acid Acne Gel Cleanser,Facial Wash,"Aqua, Potassium Cocoyl Glycinate, Hydrogenated Starch Hydrolysate, Acrylates/​Steareth-20 Methacrylate Crosspolymer, Centella Asiatica Extract, Potassium Cocoate, Salicylic Acid, Sodium Lauroamphoacetate, Lauryl Hydroxysultaine, Erythritol, Caprylyl Glycol, Potassium Hydroxide, Sodium Chloride, Disodium EDTA, Glycosyl Trehalose, Hydroxypropyl Cyclodextrin, Aroma, Phenoxyethanol
",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572977,https://s.shopee.co.id/70Hd7KSs9y
Y.O.U.  Hy! Amino AC-Ttak Anti Acne Facial Wash,Facial Wash,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Laureth Sulfate, Sekken Soji, Sodium Chloride, Glycol Stearate, Decyl Glucoside, Phenoxyethanol, Sodium Benzoate, Potassium Laureth Phosphate, Distearyl Phthalic Acid Amide, Cocamide MEA, Acrylates Copolymer, PEG-120 Methyl Glucose Dioleate, PEG-40 Hydrogenated Castor Oil, Glyserin, Citric Acid, Disodium EDTA, Melaleuca Alternifolia Leaf Oil, Butylene Glycol, Centella Asiatica Leaf Extract, Salicylic Acid, Hyaluronic Acid, Pentylene Glycol, Moringa Oleifera Seed Extract, Serine, Histidine, Threonine, Aspartic Acid, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, 1,2-Hexanediol, Sodium Hyaluronate Crosspolymer, Hydroxyacetophenone, Hydrolyzed Sodium Hyaluronate, Ethylhexylglycerin
",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572978,https://s.shopee.co.id/70Hd7KSs9y
Pond's Men Facial Wash Acne Solution,Facial Wash,"Myristic Acid, Glycerin, Water, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Lauric Acid, Glycol Distearate, Decyl Glucoside, Glyceryl Stearate, Perfume, Menthol, Terpineol, DMDM Hydantoin, Salicylic Acid, Thymol, Polyquaternium-7, Disodium EDTA, Butylene Glycol, Niacinamide, Iodopropynyl Butylcarbamate, Sodium Benzoate, Sodium Chloride, Sodium Sulfate, Ci 19140, Ci 42090
",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572979,https://s.shopee.co.id/70Hd7KSs9y
Whitelab Brightening Facial Wash,Facial Wash,"Aqua, Palmitic Acid, Glycerin, Lauric Acid, Sodium Laureth Sulfate, Potassium Hydroxide, Stearic Acid, Cocamide DEA, Propylene Glycol, Glycol Distearate, Disodium Cocoyl Glutamate, Sodium Chloride, Parfum, Cocamidopropyl Betaine, DMDM Hydantoin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, Allantoin, Collagen, Polyquaternium-7, Tetrasodium EDTA",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572980,https://s.shopee.co.id/70Hd7KSs9y
Azarine Active Bright Brightening Creamy Facial Foam,Facial Wash,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, Niacinamide, Glycol Distearate, Arbutin, Citric Acid, Sodium PCA, DMDM Hydantoin, Phenoxyethanol, Fragrance, Sodium Hyaluronate, Disodium EDTA
",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572981,https://s.shopee.co.id/70Hd7KSs9y
Emina Bright Stuff Face Wash,Facial Wash,"Myristic Acid, Glycerin, Aqua, Propylene Glycol, Potassium Hydroxide, Stearic Acid, Glycol Distearate, Lauric Acid, Decyl Glucoside, Glyceryl Stearate, PEG-7 Olive Glycerides, Niacinamide, Polyquaternium-7, Silica, Phenoxyethanol, Fragrance, Kaolin, Panthenol, Disodium EDTA, Ethylhexylglycerin, Butylene Glycol, Glycyrrhiza Glabra (Root) Extract, Actinidia Polygama Fruit Extract",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572982,https://s.shopee.co.id/70Hd7KSs9y
Pixy Cleansing Express Brightening,Facial Wash,"Water, Propylene Glycol, PEG-6 Caprylic/​Capric Glycerides, PEG-7 Glyceryl Cocoate, Pachyrrhizus Erosus Root Extract, Phenoxyethanol, PEG-50 Hydrogenated Castor Oil, Methylparaben, Fragrance, Sodium Citrate, Tocopheryl Acetate, Disodium Cocoyl Glutamate, Disodium EDTA, Citric Acid, Magnesium Ascorbyl Phosphate, Ethylhexyl Methoxycinnamate, Styrene/​Vp Copolymer, Butylene Glycol, Glycerin, Hydroxylated Lecithin, Lactic Acid, Glycine Soja (Soybean) Seed Extract, BHT",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572983,https://s.shopee.co.id/70Hd7KSs9y
Scarlett Whitening Brightening Facial Wash,Facial Wash,"Aqua, Coconut Fatty Acid Diethanolamide, Glycerin, Rosa Canina Flower, Cocamidopropyl Betaine, Ammonium Salt, Aloe Vera, Acrylates Copolymer, Glutathione, Triisopropanolamine, DMDM Hydantoin, Glass Beads, Vit E, EDTA",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572984,https://s.shopee.co.id/70Hd7KSs9y
Bening’s Brightening Facial Wash,Facial Wash,"Water, Sodium Laureth Sulfate, Cocamide DEA, Glycerin, Cocamidopropyl Betaine, Tranexamic Acid, Niacinamide, Glycolipids, Sodium Benzoate, Xylitylglucoside, Anhydroxylitol, Xylitol, Aloe Barbadensis Leaf Juice, Citric Acid, Ascorbic Acid, Potassium Sorbate, Hamamelis Virginiana Extract, Methylparaben, Glycyrrhiza Glabra Root Extract, PEG-120 Methyl Glucose Dioleate, Phenoxyethanol, Ethylhexylglycerin, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate, Sodium Acetylated Hyaluronate, Hydrolyzed Sodium Hyaluronate, Pentylene Glycol, Ceramide NP, PEG-7 Glyceryl Cocoate, Trehalose, Disodium EDTA, Allantoin, Coco-Glucoside, Sodium Laurylglucosides Hydroxypropylsulfonate, DNA, Sodium Chloride, Sodium Metabisulfite, Parfum, Glutathione, Sodium Bisulfite",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572985,https://s.shopee.co.id/70Hd7KSs9y
Azarine C White Brightening Facial Cleanser,Facial Wash,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, Salicylic Acid, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Nonfat Dry Milk, Citrus Limon Fruit Extract, Sodium Chloride, DMDM Hydantoin, Fragrance, Yogurt Extract, Aloe Barbadensis Leaf Extract, Carica Papaya Fruit Extract, Pachyrrhizus Erosus Root Extract, Phenoxyethanol, Morus Alba Fruit Extract, Citric Acid",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572986,https://s.shopee.co.id/70Hd7KSs9y
Shinzu'i Whitessentials Facial Wash,Facial Wash,"Aqua, Glycerin, Myristic Acid, Stearic Acid, Potassium Hydroxide, Lauryl Glucoside, Lauric Acid, Niacinamide, Cocamidopropyl Betaine, Potassium Cocoyl Glycinate, Glyceryl Stearate, Glycol Distearate, Parfum, Phenoxyethanol, Potassium Cocoate, Sodium Chloride, Hydroxypropyl Methylcellulose, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Ascorbyl Glucoside, Hydrolyzed Tremella Fuciformis Sporocarp Extract, Potassium Sorbate",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572987,https://s.shopee.co.id/70Hd7KSs9y
Y.O.U. You Hy! Amino Brightening,Facial Wash,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Lauryl Sulfate, Sekken Soji, Sodium Chloride, Glycol Distearate, Decyl Glucoside, Phenoxyethanol, Distearyl Phthalic Acid Amide, Sodium Benzoate, Potassium Laureth Phosphate, PEG-40 Hydrogenated Castor Oil, Cocamide MEA, Acrylates Copolymer, PEG-120 Methyl Glucose Dioleate, Glyserin, Caprylic Capric Triglyceride, Citric Acid, Tetrasodium EDTA, Citrus Medica Limonum (Lemon) Fruit Oil, Citrus Tangerina Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Niacinamide, Butylene Glycol, 3-0-Ethyl Ascorbic Acid, Hyaluronic Acid, Pentylene Glycol, Moringa Oleifera Seed Extract, Histidine, Serine, Camellia Japonica Flower Extract, Threonine, Aspartic Acid, Sodium Acetylated Hyaluronate, Sodium Hyaluronate, 1,2-Hexanediol, Sodium Hyaluronate Crosspolymer, Hydroxyacetophenone, Hydrolyzed Sodium Hyaluronate, Ethylhexylglycerin",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572988,https://s.shopee.co.id/70Hd7KSs9y
Nuface Nu Glow Brighten Facial Wash,Facial Wash,"Aqua, Glyserin, Myristic Acid, Palmitic Acid, Lauric Acid, Stearic Acid, Potassium Hydroxide, Polyquaternium-7, Cocamidopropyl Betaine, Glycol Distearate, Glyceryl Stearate, Laureth-4, Phenoxyethanol, Perfume, PEG-100 Stearate, Disodium EDTA, Allantoin, Sodium Metabisulfite, Niacinamide, Sodium Benzoate, Formic Acid, Ethyl Ascorbic Acid, Glycyrrhiza Glabra Root Extract, 1,2-Hexanediol, Butylene Glycol, Sodium Hyaluronate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Sodium Hyaluronate, PEG-9 Diglycidyl Ether Sodium Hyaluronate Crosspolymer, Sodium Acetylated Hyaluronate",Gel,15000,https://medias.watsons.co.id/publishing/WTCID-28556-back-zoom.jpg?version=1728572989,https://s.shopee.co.id/70Hd7KSs9y
