Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Methylisothiazolinone,-,-,"Normal, Berminyak, Kering, Kombinasi",Dikenal sebagai salah satu alergen kontak yang paling sering dilaporkan.,-,-,"Kemerahan, PIE, PIH","Dapat menyebabkan iritasi dan dermatitis kontak. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: High; PIE: Moderate; PIH: Moderate,,"Sama seperti MCI: sensitizer kontak yang terdokumentasi baik, tetapi mekanismenya alergi umum, bukan spesifik kering/berminyak."
Tocopheryl Acetate,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang membantu melindungi kulit.,-,-,"Aging, Kusam, PIH",Membantu mengurangi stres oksidatif dan mendukung regenerasi kulit.,-,-,Aging: Supportive; Kusam: Supportive; PIH: Supportive,-,,
Punica Granatum (Pomegranate) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan sehingga cocok untuk berbagai jenis kulit.,-,-,"Kusam, PIH",Membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam: Supportive; PIH: Supportive,-,,
Menthol,Berminyak,Memberikan sensasi segar pada kulit berminyak.,Kering,Dapat memperburuk kekeringan dan mengganggu skin barrier.,-,-,Kemerahan,Dapat memicu sensasi menyengat dan meningkatkan iritasi.,-,Kemerahan: Moderate,Kering: Moderate,Efek cooling/vasodilatasi dan sensasi stinging yang terdokumentasi dapat memperberat kekeringan pada konsentrasi lebih tinggi; sangat bergantung konsentrasi.
Glycyrrhiza Glabra (Licorice) Root Extract,"Normal, Berminyak, Kering, Kombinasi",Memiliki sifat anti-inflamasi dan aman digunakan pada berbagai jenis kulit.,-,-,"Berjerawat, PIE, PIH, Kusam, Kemerahan",Membantu mengurangi inflamasi dan menghambat pembentukan melanin.,-,-,Berjerawat: Supportive; PIE: Supportive; PIH: Supportive; Kusam: Supportive; Kemerahan: Supportive,-,,
Vateria Indica (White Dammar) Bark Extract,"Normal, Berminyak",Memiliki aktivitas antimikroba dan antioksidan.,-,-,Berjerawat,Berpotensi membantu menghambat pertumbuhan mikroorganisme penyebab jerawat.,Kemerahan,Bukti klinis masih terbatas dan berpotensi mengiritasi kulit yang sedang meradang.,Berjerawat: Supportive,Kemerahan: Low,,
Fragrance/Parfum/Perfume/Parfume,-,-,"Normal, Berminyak, Kering, Kombinasi",Tidak memberikan manfaat pada kulit dan merupakan salah satu penyebab paling umum allergic contact dermatitis serta iritasi.,-,-,"Kemerahan, PIE, PIH","Dapat memicu atau memperburuk inflamasi pada kulit sensitif dan kulit dengan skin barrier yang terganggu. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: High; PIE: Moderate; PIH: Moderate,,"Fragrance adalah kategori luas dengan risiko alergi kontak yang terdokumentasi (top allergen kosmetik), namun risikonya generalis/alergi, bukan spesifik fisiologi jenis kulit."
Sodium Laureth Sulfate,Berminyak,Efektif mengangkat sebum sehingga cocok untuk kulit berminyak.,"Kering, Kombinasi",Dapat mengurangi lipid alami kulit dan meningkatkan TEWL sehingga kulit menjadi lebih kering.,-,-,Kemerahan,Berpotensi mengganggu skin barrier dan memperburuk iritasi pada kulit yang sedang meradang.,-,Kemerahan: Moderate,Kering: Moderate; Kombinasi: Low,Surfaktan anionik teretoksilasi; lebih ringan dari SLS namun studi komparatif tetap menunjukkan potensi pelucutan lipid pada kulit kering.
Methylparaben,-,-,-,-,-,-,-,Pada konsentrasi yang diizinkan umumnya aman dan tidak terbukti memperburuk kondisi kulit tertentu.,-,-,,
Ethylparaben,-,-,-,-,-,-,-,"Sama seperti methylparaben, profil keamanannya baik dalam kosmetik.",-,-,,
Propylparaben,-,-,-,-,-,-,-,"Umumnya aman pada konsentrasi yang diizinkan, hanya sebagian kecil individu yang mengalami alergi.",-,-,,
Butylparaben,-,-,-,-,-,-,-,Tidak memiliki hubungan langsung dengan jenis maupun masalah kulit pada penggunaan kosmetik normal.,-,-,,
Propylene Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu mempertahankan kadar air di stratum corneum sehingga meningkatkan hidrasi kulit.,-,-,Kusam,Hidrasi yang baik membantu memperbaiki tampilan kulit kusam dan mengurangi tampilan garis halus akibat kulit kering.,Kemerahan,"Pada sebagian kecil individu dapat menyebabkan iritasi atau sensasi menyengat, terutama jika skin barrier terganggu.",Kusam: Supportive,Kemerahan: Low,,
Butylene Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang meningkatkan hidrasi kulit.,-,-,Kusam,Menjaga kelembapan sehingga kulit tampak lebih sehat dan tidak kusam.,-,-,Kusam: Supportive,-,,
PEG-26 Jojoba Acid,"Normal, Berminyak, Kering, Kombinasi",Skin conditioning agent yang membantu melembapkan dan menjaga kelembutan kulit.,-,-,Kusam,Membantu memperbaiki kondisi permukaan kulit melalui efek emollient.,-,-,Kusam: Supportive,-,,
Alcohol/Ethanol/Alcohol Denat,Berminyak,Membantu mengurangi rasa berminyak dan memberikan sensasi ringan pada kulit.,"Kering, Kombinasi",Dapat melarutkan lipid alami kulit sehingga memperburuk kekeringan dan mengganggu skin barrier.,-,-,"Berjerawat, Kemerahan, Aging","Dapat meningkatkan iritasi, memperburuk skin barrier, dan menyebabkan kulit semakin kering sehingga kurang sesuai untuk kondisi tersebut.",-,Berjerawat: Low; Kemerahan: Moderate; Aging: Low,Kering: Moderate; Kombinasi: Low,"Simple/volatile alcohol (berbeda dari fatty alcohol); terdokumentasi meningkatkan TEWL akibat efek evaporatif, namun tingkat keparahan sangat bergantung konsentrasi dan formulasi."
Simmondsia Chinensis (Jojoba) Seed Oil,"Normal, Berminyak, Kering, Kombinasi",Komposisinya menyerupai sebum alami sehingga membantu menjaga keseimbangan kelembapan tanpa terasa terlalu berat pada sebagian besar kulit.,-,-,"Kusam, Kemerahan",Bersifat emollient dan memiliki aktivitas antioksidan serta anti-inflamasi ringan yang membantu memperbaiki skin barrier.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Matricaria (Chamomilla Recutita) Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung bisabolol dan flavonoid yang bersifat soothing sehingga umumnya cocok untuk semua jenis kulit.,-,-,"Berjerawat, PIE, Kemerahan",Memiliki aktivitas anti-inflamasi yang membantu menenangkan kulit dan mengurangi kemerahan akibat inflamasi.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Lauramidopropyl Hydroxysultaine,"Normal, Berminyak, Kering, Kombinasi",Surfactant amfoter yang sangat lembut sehingga cocok untuk berbagai jenis kulit.,-,-,-,-,-,-,-,-,,
Sodium Cocoyl Glycinate,"Normal, Berminyak, Kering, Kombinasi",Surfactant berbasis asam amino yang menjaga skin barrier dan tidak mudah menyebabkan kulit kering.,-,-,-,-,-,-,-,-,,
Niacinamide,"Normal, Berminyak, Kering, Kombinasi","Membantu mengontrol produksi sebum, memperkuat skin barrier, dan meningkatkan hidrasi sehingga sesuai untuk berbagai jenis kulit.",-,-,"Berjerawat, PIE, PIH, Aging, Kusam, Kemerahan","Memiliki efek anti-inflamasi, membantu mengurangi hiperpigmentasi, meningkatkan fungsi skin barrier, dan mendukung sintesis ceramide.",-,-,Berjerawat: Supportive; PIE: Supportive; PIH: Supportive; Aging: Supportive; Kusam: Primary; Kemerahan: Supportive,-,,
Coconut Acid,Berminyak,Membantu proses pembersihan minyak sebagai komponen sabun.,Kering,Dapat meningkatkan kekeringan apabila digunakan dalam bentuk sabun dengan pH tinggi.,-,-,Kemerahan,Dapat meningkatkan iritasi pada kulit dengan skin barrier yang terganggu.,-,Kemerahan: Low,Kering: Moderate,Asam lemak pembentuk sabun (soap base); pH tinggi dan efek degreasing sabun tradisional terdokumentasi mengeringkan kulit.
Sodium Cocoate,Berminyak,Sabun yang efektif mengangkat minyak dan kotoran.,"Kering, Kombinasi",Bersifat alkalis sehingga dapat mengganggu skin barrier dan menyebabkan kulit terasa kering.,-,-,Kemerahan,pH yang tinggi dapat memperburuk iritasi pada kulit yang sedang meradang.,-,Kemerahan: Low,Kering: Moderate; Kombinasi: Low,Garam sabun dari asam lemak kelapa; mekanisme sama seperti Coconut Acid.
Pentylene Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menjaga kelembapan kulit sekaligus meningkatkan kenyamanan penggunaan produk.,-,-,Kusam,Membantu meningkatkan hidrasi kulit sehingga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Saccharide Isomerate,"Normal, Berminyak, Kering, Kombinasi",Humectant yang mampu berikatan dengan keratin sehingga memberikan hidrasi jangka panjang.,-,-,"Kusam, Kemerahan",Membantu memperbaiki hidrasi kulit dan mendukung pemulihan skin barrier.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Sodium Benzoate,-,-,-,-,-,-,Kemerahan,Pada sebagian kecil individu dapat menyebabkan iritasi pada kulit yang sangat sensitif.,-,Kemerahan: Low,,
Aloe Barbadensis Leaf Extract,"Normal, Berminyak, Kering, Kombinasi","Memiliki efek soothing, anti-inflamasi, dan membantu menjaga kelembapan kulit.",-,-,"Berjerawat, PIE, Kemerahan, Kusam","Membantu menenangkan inflamasi, mempercepat pemulihan kulit, dan memberikan hidrasi.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive; Kusam: Supportive,-,,
Hydrolyzed Vegetable Protein,"Normal, Berminyak, Kering, Kombinasi",Membantu menjaga kelembapan dan kondisi permukaan kulit melalui efek skin conditioning.,-,-,Kusam,Membantu meningkatkan kelembutan dan elastisitas permukaan kulit.,-,-,Kusam: Supportive,-,,
Cereus Grandiflorus (Cactus) Flower Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan dan komponen pelembap alami yang cocok untuk berbagai jenis kulit.,-,-,"Kusam, Kemerahan",Membantu melindungi kulit dari stres oksidatif dan memberikan efek soothing.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Potassium Sorbate,-,-,-,-,-,-,Kemerahan,Pada sebagian kecil individu dapat memicu iritasi atau dermatitis kontak.,-,Kemerahan: Low,,
Sodium Hyaluronate,"Normal, Berminyak, Kering, Kombinasi",Humectant dengan kemampuan mengikat air yang sangat baik sehingga cocok untuk semua jenis kulit.,-,-,"Kusam, PIE, Kemerahan","Meningkatkan hidrasi kulit, memperbaiki skin barrier, dan mendukung proses penyembuhan kulit.",-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Sclerocarya Birrea (Marula) Seed Oil,"Normal, Kering, Kombinasi",Emollient kaya asam lemak dan antioksidan yang membantu memperbaiki skin barrier.,Berminyak,Pada kulit yang sangat berminyak dapat terasa terlalu kaya/berat.,"Kusam, Kemerahan","Membantu melembapkan kulit, mengurangi kehilangan air, dan memberikan perlindungan antioksidan.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,"Sering diklaim non-komedogenik oleh industri, namun bukti klinis independen mengenai potensi komedogenik pada kulit berminyak masih terbatas."
Leuconostoc/Radish Root Ferment Filtrate,"Normal, Berminyak, Kering, Kombinasi",Ferment filtrate yang berfungsi sebagai skin conditioning agent dan antimikroba alami dengan toleransi kulit yang baik.,-,-,"Berjerawat, Kemerahan",Membantu menjaga keseimbangan mikrobioma kulit dan memiliki efek antimikroba ringan.,-,-,Berjerawat: Supportive; Kemerahan: Supportive,-,,
Rosa Damascena Flower Water,"Normal, Berminyak, Kering, Kombinasi",Memberikan efek menyegarkan serta memiliki aktivitas antioksidan dan anti-inflamasi ringan.,-,-,"Kusam, Kemerahan",Membantu menenangkan kulit dan memberikan efek antioksidan.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Rosa Damascena Flower Oil,-,-,"Normal, Berminyak, Kering, Kombinasi","Mengandung komponen pewangi alami (misalnya citronellol, geraniol) yang dapat memicu sensitisasi pada sebagian individu.",-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan iritasi atau alergi kontak pada kulit yang sensitif atau sedang mengalami inflamasi. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial dengan komponen berpotensi alergenik/fotosensitisasi; risikonya generalis (alergi), bukan spesifik fisiologi jenis kulit."
Myristic Acid,Berminyak,Membantu membersihkan minyak dan kotoran sebagai komponen utama surfaktan pada facial wash.,Kering,Dapat menyebabkan kulit terasa lebih kering karena sifat cleansing yang cukup kuat.,-,-,Kemerahan,Berpotensi mengganggu skin barrier dan meningkatkan iritasi pada kulit yang sedang meradang.,-,Kemerahan: Low,Kering: Moderate,Asam lemak jenuh berbasis kelapa yang umum pada basis sabun; efek degreasing serupa Coconut Acid/Lauric Acid.
Stearic Acid,"Normal, Berminyak, Kering, Kombinasi",Asam lemak yang berfungsi sebagai emollient sehingga membantu menjaga kelembapan kulit.,-,-,Kusam,Membantu memperbaiki kelembapan permukaan kulit sehingga kulit terasa lebih halus.,-,-,Kusam: Supportive,-,,
Lauric Acid,Berminyak,Memiliki aktivitas antimikroba dan membantu mengangkat minyak berlebih pada kulit.,Kering,Dapat meningkatkan kekeringan apabila digunakan dalam formulasi sabun atau cleanser.,Berjerawat,Memiliki aktivitas antibakteri terhadap Cutibacterium acnes sehingga dapat membantu mendukung perawatan kulit berjerawat.,Kemerahan,Dapat meningkatkan iritasi pada kulit yang sedang mengalami inflamasi.,Berjerawat: Supportive,Kemerahan: Low,Kering: Moderate,"Komponen sabun berbasis asam lemak kelapa; efek surfaktan/degreasing dapat mengeringkan kulit kering, sangat bergantung formulasi (sabun vs emolien)."
Decyl Glucoside,"Normal, Berminyak, Kering, Kombinasi",Surfactant non-ionik yang sangat lembut dan memiliki risiko iritasi rendah.,-,-,-,-,-,-,-,-,,
Sodium Ascorbyl Phosphate,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang stabil dan umumnya dapat ditoleransi oleh berbagai jenis kulit.,-,-,"Berjerawat, PIH, Kusam, Aging","Memiliki aktivitas antioksidan, membantu mengurangi hiperpigmentasi, serta memiliki efek antimikroba terhadap Cutibacterium acnes.",-,-,Berjerawat: Supportive; PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Pyridoxine HCl,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin B6 yang membantu menjaga kondisi kulit dan umumnya aman digunakan.,-,-,Berjerawat,Membantu mengurangi produksi sebum pada beberapa formulasi kosmetik sehingga dapat mendukung kulit berjerawat.,-,-,Berjerawat: Supportive,-,,
Iodopropynyl Butylcarbamate,-,-,"Normal, Berminyak, Kering, Kombinasi",Pengawet dengan potensi menyebabkan dermatitis kontak pada individu sensitif sehingga kurang direkomendasikan sebagai ingredient yang bersentuhan lama dengan kulit.,-,-,"Kemerahan, PIE, PIH","Berpotensi memicu atau memperburuk iritasi dan reaksi alergi pada kulit yang sedang mengalami inflamasi. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Preservative dengan laporan sensitisasi kontak pada konsentrasi lebih tinggi; risikonya alergi, bukan spesifik jenis kulit."
Palmitic Acid,"Normal, Kering, Kombinasi",Merupakan asam lemak yang berfungsi sebagai emollient sehingga membantu menjaga kelembapan dan memperbaiki skin barrier.,Berminyak,Pada sebagian kulit yang sangat berminyak dapat terasa lebih berat atau oklusif.,Kusam,Membantu menjaga kelembapan dan kelembutan kulit sehingga mendukung perbaikan tekstur kulit.,Berjerawat,Pada sebagian individu acne-prone dapat meningkatkan risiko pori terasa tersumbat karena sifatnya yang lebih oklusif.,Kusam: Supportive,Berjerawat: Low,Berminyak: Low,"Asam lemak jenuh, rating komedogenik rendah pada tabel klasik; umumnya berfungsi sebagai emolien/thickener."
Sodium Methyl Lauroyl Taurate,"Normal, Berminyak, Kering, Kombinasi","Surfactant anionik yang sangat lembut, menghasilkan busa baik tanpa banyak mengganggu skin barrier.",-,-,-,-,-,-,-,-,,
Hydroxystearic Acid,"Normal, Kering, Kombinasi",Berfungsi sebagai emollient yang membantu menjaga kelembapan dan kelembutan kulit.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih berat.,Kusam,Membantu mengurangi kekeringan dan memperbaiki kondisi permukaan kulit.,-,-,Kusam: Supportive,-,,Turunan asam lemak yang umum sebagai thickener; evidence spesifik untuk kulit berminyak masih terbatas.
Vitis Vinifera (Grape) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya polifenol dan antioksidan sehingga sesuai untuk berbagai jenis kulit.,-,-,"PIH, Kusam, Kemerahan","Antioksidan kuat (misalnya proanthocyanidins) membantu melindungi kulit dari radikal bebas, mendukung brightening, dan memiliki efek anti-inflamasi.",-,-,PIH: Supportive; Kusam: Supportive; Kemerahan: Supportive,-,,
Collagen,"Normal, Berminyak, Kering, Kombinasi",Berfungsi sebagai humectant/film-forming agent yang membantu mempertahankan kelembapan permukaan kulit.,-,-,Kusam,Membantu meningkatkan hidrasi permukaan kulit sehingga kulit terasa lebih halus dan tampak lebih kenyal.,-,-,Kusam: Supportive,-,,
Beta-Glucan,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu memperkuat skin barrier serta menenangkan kulit.,-,-,"Berjerawat, PIE, Kemerahan","Memiliki efek anti-inflamasi, membantu mempercepat pemulihan skin barrier, serta meningkatkan hidrasi kulit.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
PPG-24-Glycereth-24,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menarik dan mempertahankan kelembapan pada kulit.,-,-,Kusam,Membantu menjaga hidrasi sehingga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Lauryl Hydroxysultaine,"Normal, Berminyak, Kering, Kombinasi",Surfactant amfoter yang sangat lembut dengan risiko iritasi rendah.,-,-,-,-,-,-,-,-,,
"1,2-Hexanediol","Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menjaga kelembapan kulit sekaligus mendukung efektivitas sistem pengawet.,-,-,Kusam,Membantu mempertahankan hidrasi kulit.,-,-,Kusam: Supportive,-,,
Hydroxyacetophenone,-,-,-,-,-,-,-,Antioksidan sekaligus preservative booster yang umumnya memiliki toleransi kulit yang baik dan tidak diketahui memberikan manfaat atau risiko langsung terhadap kondisi kulit yang kamu klasifikasikan.,-,-,,
Ethylhexylglycerin,-,-,-,-,-,-,-,"Berfungsi sebagai preservative booster dan skin conditioning agent, tetapi tidak memiliki efek yang cukup spesifik terhadap kategori jenis atau masalah kulit dalam dataset ini.",-,-,,
Caprylyl Glycol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu menjaga kelembapan kulit.,-,-,Kusam,Membantu mempertahankan hidrasi sehingga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Caprylhydroxamic Acid,-,-,-,-,-,-,Kemerahan,Pengawet dengan potensi iritasi ringan pada sebagian individu dengan kulit yang sangat sensitif atau skin barrier yang terganggu.,-,Kemerahan: Low,,
Lauryl Betaine,"Normal, Berminyak, Kering, Kombinasi",Surfactant amfoter yang lembut sehingga cocok untuk berbagai jenis kulit.,-,-,-,-,-,-,-,-,,
Sodium Cocoyl Isethionate,"Normal, Berminyak, Kering, Kombinasi",Surfactant yang sangat lembut dan membantu menjaga skin barrier saat proses pembersihan.,-,-,-,-,-,-,-,-,,
Quillaja Saponaria Bark Extract,"Normal, Berminyak",Mengandung saponin alami yang membantu membersihkan minyak dan kotoran.,Kering,Penggunaan berlebihan dapat meningkatkan kekeringan pada kulit yang sudah kering.,-,-,Kemerahan,Saponin dapat meningkatkan iritasi pada kulit yang skin barrier-nya terganggu.,-,Kemerahan: Low,Kering: Low,"Mengandung saponin alami (soap bark) dengan sifat surfaktan ringan; potensi efek mengeringkan bersifat teoritis, evidence klinis terbatas."
Ceramide NP,"Normal, Berminyak, Kering, Kombinasi",Ceramide utama penyusun skin barrier sehingga cocok untuk semua jenis kulit.,-,-,"Berjerawat, PIE, Kemerahan","Memperbaiki skin barrier, mengurangi kehilangan air (TEWL), dan membantu pemulihan kulit.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Ceramide EOP,"Normal, Berminyak, Kering, Kombinasi",Membantu memperkuat struktur lipid skin barrier.,-,-,"Berjerawat, PIE, Kemerahan",Mendukung perbaikan skin barrier dan mengurangi inflamasi akibat barrier yang rusak.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Hyaluronic Acid,"Normal, Berminyak, Kering, Kombinasi",Humectant yang mampu mengikat air dalam jumlah besar sehingga meningkatkan hidrasi kulit.,-,-,"Kusam, PIE, Kemerahan",Menjaga kelembapan dan membantu pemulihan skin barrier.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Ceramide AP,"Normal, Berminyak, Kering, Kombinasi",Membantu mempertahankan integritas skin barrier dan kelembapan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Mendukung perbaikan barrier dan mengurangi inflamasi.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Centella Asiatica Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung madecassoside dan asiaticoside yang bersifat soothing dan anti-inflamasi.,-,-,"Berjerawat, PIE, Kemerahan, Aging","Membantu mengurangi inflamasi, mempercepat penyembuhan luka, dan mendukung sintesis kolagen.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Primary; Aging: Supportive,-,,
Ceramide AS,"Normal, Berminyak, Kering, Kombinasi",Membantu menjaga kelembapan dan memperkuat skin barrier.,-,-,"Berjerawat, PIE, Kemerahan",Mendukung fungsi skin barrier dan mengurangi kehilangan air.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Panthenol,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin protectant yang membantu memperbaiki skin barrier.,-,-,"Berjerawat, PIE, Kemerahan",Memiliki efek anti-inflamasi dan membantu regenerasi kulit.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Ceramide NS,"Normal, Berminyak, Kering, Kombinasi",Salah satu komponen lipid alami kulit yang membantu mempertahankan skin barrier.,-,-,"Berjerawat, PIE, Kemerahan",Membantu memperbaiki skin barrier dan menjaga hidrasi kulit.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
